1_31,2_31,3_31,4_31,5_31,6_31,7_31,8_31,9_31,10_31,11_31,12_31,13_31,14_31,15_31
-2.9444256810697214,-2.891834194955412,-2.8414561458760983,-2.7929730192523765,-2.7461432353505346,-2.700665951058312,-2.6561494720210495,-2.612486462480398,-2.569063468303773,-2.529037726297302,-2.4869463667466585,-2.4438213334582164,-2.407137521584595,-2.379244829040354,-2.3879724740679675
-2.82718586711354,-2.8734127577231794,-2.818839491574791,-2.767332795572874,-2.718284499630531,-2.6714097210612606,-2.626532171893843,-2.5833723906655273,-2.5417000650444406,-2.4980872648089756,-2.4651847904575295,-2.424072138963808,-2.389943581866312,-2.365145145385299,-2.364414496262775
-2.7158733535982162,-2.6617813632457397,-2.802002013254011,-2.7457296915582785,-2.69309475446406,-2.6436312399405244,-2.5973604589056447,-2.553948995666741,-2.5134763735958465,-2.4720800491739237,-2.432759052442941,-2.4046440114191983,-2.375086146065098,-2.359475297028936,-2.3260537614363366
-2.604635210656658,-2.6596286143349928,-2.5023342344666832,-2.734255588892591,-2.6764428452733413,-2.6225686147510334,-2.572764149435639,-2.527136562016749,-2.486756109692585,-2.4463257996592023,-2.4089564490234463,-2.3880130750518185,-2.3550021698309958,-2.3232806188504007,-2.3023139708644953
-2.4979010012553005,-2.4468657020209177,-2.499329083900805,-2.350214180778387,-2.671405139482622,-2.613343564574283,-2.5590760276359963,-2.5085850484645102,-2.4681628896965253,-2.4242501715077225,-2.3861845157095716,-2.3824346251455157,-2.3504458640944357,-2.3133069446244625,-2.285738045305748
-2.3921235130125864,-2.441781554924635,-2.4971178865454124,-2.347431990071726,-2.20425539651849,-2.612248071353559,-2.5571048721397305,-2.5067497785734583,-2.453145182589768,-2.42263773014634,-2.3793496589803866,-2.334838318951945,-2.311413206007016,-2.2920486691760718,-2.26250269854685
-2.2905507101942777,-2.240378131360074,-2.192069742476167,-2.3394107893331575,-2.198648949864984,-2.0626885938907504,-2.552917151535319,-2.4979314890059743,-2.444835898024984,-2.4072644914908037,-2.370597032924485,-2.3255784023716513,-2.307116104212079,-2.2834939373554577,-2.2449858666227893
-2.1905014108994956,-2.2376272951248177,-2.1902312048149795,-2.3372367472863256,-2.1964135699761336,-2.058490470644001,-1.9269067008595275,-2.4952368996257333,-2.444148111222825,-2.3988322586979742,-2.3550208022705768,-2.288994954543684,-2.304421003807584,-2.2688824622617365,-2.232364854953928
-2.0945703715770185,-2.0444438353276024,-2.1867333995538902,-1.9617161912139383,-2.186522486118637,-2.049186650835854,-1.9260539722685937,-1.8107673582444068,-2.438954746463565,-2.385047103732324,-2.3496417568310632,-2.287570992201251,-2.232794185319517,-2.2312086498444343,-2.20669436713176
-2.0006185492217488,-2.043089508938633,-1.9045493313897974,-1.950450762970342,-2.176310164043189,-2.0483285884110645,-1.9204070243604872,-1.794226813482178,-1.6765053421007956,-2.368713764036515,-2.3169287172169435,-2.283147191592924,-2.2294877512625084,-2.215971617506666,-2.1879626408061226
-1.9107916093991897,-1.8614164836724607,-1.9015657512045925,-1.947814384981147,-1.7490871660781797,-2.0390509149831435,-1.9010327555516413,-1.7813655317535597,-1.6708283171277225,-1.5809422336434609,-2.3163006393924963,-2.2764257034340396,-2.222006718089878,-2.207008619830531,-2.162606561999315
-1.8233559328968068,-1.8585455575119223,-1.898398325205689,-1.9462222516265155,-1.7329730792893134,-2.0187745040782694,-1.8949930842860527,-1.7708941906543303,-1.6673525125196191,-1.5545394768448093,-1.4669184727165026,-2.274212016337053,-2.2109917294814747,-2.1362679192989797,-2.137279497056919
-1.7401107387077663,-1.688976580450386,-1.645653914776487,-1.5975884274844383,-1.7268385769100805,-1.557908226769483,-1.8934116175210927,-1.7599072912854863,-1.6612541383811912,-1.5338575332608169,-1.4665531232509965,-1.3757512189514691,-2.2001463500629863,-2.126328561434402,-2.108235869504266
-1.6596568147922914,-1.688673214594749,-1.6394204106574861,-1.5924499492910813,-1.7202827607310225,-1.5316542011233893,-1.8678930772073454,-1.7568392006834732,-1.636299553179787,-1.5190651604089283,-1.4225537371228836,-1.3654091619970439,-1.300850933784166,-2.118316559908701,-2.0698326293659988
-1.5835049847658302,-1.5318804838405877,-1.6385537476377305,-1.589789348893349,-1.7147422451534253,-1.5181709390837,-1.3694953879737504,-1.7388074664338595,-1.6120178884418304,-1.5102418769670287,-1.4182810939320902,-1.344240513017261,-1.2979814086450692,-1.2605642816835385,-2.015079557671636
-1.5105481169438553,-1.529109203217221,-1.4078489851641627,-1.5861468391347264,-1.3254962805650987,-1.5119574788952568,-1.3514068228205198,-1.7224168349194127,-1.6059686829783877,-1.5031861006589662,-1.3958672157050382,-1.3399720890603581,-1.2927576103605998,-1.2600028806433423,-1.2565656323369943
-1.4420429552349303,-1.3874900357267195,-1.404998687691308,-1.3016527194127137,-1.3181977652511345,-1.5085990933706261,-1.339498356797991,-1.2116247172734844,-1.599518128199325,-1.4970661550022575,-1.3886803270236476,-1.3334733234367877,-1.2692760731475046,-1.2589336092332102,-1.1931746933491347
-1.3771424152687932,-1.386450682035601,-1.4020478515460688,-1.2943606922496838,-1.3105952369453928,-1.488290902780484,-1.32785569636616,-1.1832538295124044,-1.5732993277515896,-1.4780669803267763,-1.3829243774812856,-1.287035845831135,-1.2684124209330332,-1.1164950827805842,-1.13335425677759
-1.3168704626786727,-1.259674858291621,-1.2134949258254157,-1.2832746364558532,-1.2996153156149746,-1.08325322465697,-1.3013872347389033,-1.1627037606189132,-1.0801044013194685,-1.4618576709990565,-1.352241604488525,-1.2853787035270385,-1.143275896704223,-1.1134409457822825,-1.0766606302170623
