1_61,2_61,3_61,4_61,5_61,6_61,7_61,8_61,9_61,10_61,11_61,12_61,13_61,14_61,15_61
-2.1823638401943186,-2.184857084747226,-2.1874003246369003,-2.1898573439890323,-2.1922456575148104,-2.1947449278506954,-2.1971773358299793,-2.199572213491233,-2.201956414949397,-2.2044945078481883,-2.2070020691553967,-2.2094875129526694,-2.2118725548192764,-2.21420128322844,-2.2172630587115587
-1.8525366533587029,-2.1847554111646734,-2.1870692076238876,-2.18965982811431,-2.192226150861185,-2.1945136850847966,-2.196828644654778,-2.199406467439776,-2.201952252683763,-2.204316957018379,-2.206656211086783,-2.209010383340377,-2.2115830415238564,-2.214098247061137,-2.2162467911006036
-1.852349440537861,-1.8519375500004862,-2.1869815794007517,-2.1893001545145974,-2.191490355188149,-2.1941982269243425,-2.196741699044367,-2.1989387953345663,-2.2011212264743487,-2.2037667195863477,-2.2064063023540244,-2.208923494323028,-2.21111050619667,-2.21320225230485,-2.215285167136871
-1.8478399169982103,-1.8519201949437432,-1.8498365898041744,-2.1886900980114756,-2.1914470010095624,-2.1935175761611347,-2.195660337868043,-2.1984080121530347,-2.201103814985932,-2.203280815048464,-2.2053901591883345,-2.207523133259647,-2.210210225267087,-2.2128806778059187,-2.214922318653146
-1.8476287472473378,-1.8511306423529248,-1.8491113233580065,-1.8464376037203718,-2.1899240877947364,-2.1928379343114925,-2.195532274225729,-2.1975131572881876,-2.1994661448816073,-2.2020996568879854,-2.2048252368815344,-2.207407612630107,-2.2092988376599036,-2.211300160503093,-2.2130644630242893
-1.8437921387164389,-1.8511065537851306,-1.848815579155836,-1.8456531765209194,-1.8435264329769399,-2.190605700977561,-2.1936126724154907,-2.196517303171695,-2.1993380223511942,-2.2013734193638945,-2.203202024978964,-2.204939117850306,-2.2076749891900613,-2.210170712276671,-2.2126211412703944
-1.843593792900919,-1.8400755912863032,-1.847288235396912,-1.8455941340630833,-1.84247503457416,-1.8403337792881977,-2.1906023750169505,-2.1936504336183393,-2.1965779515670794,-2.199413300348426,-2.202188703601567,-2.2049062907609054,-2.206481556478264,-2.207848749747273,-2.2095011168873464
-1.8404316024930982,-1.839783974743519,-1.8470073374210396,-1.8452867032622353,-1.8416991582221411,-1.8386492110337755,-1.8364285758706025,-2.189701718341108,-2.1927209647941717,-2.1956123600659385,-2.198419315747247,-2.2011874882184217,-2.203951127891118,-2.206693927750322,-2.2091036274215985
-1.839984211578181,-1.8384906437570796,-1.8466151508576483,-1.8432491691120545,-1.841339689256622,-1.8365236890339343,-1.8339427234056547,-1.8318569246428518,-2.1876471316491126,-2.190584747517129,-2.1934101706600266,-2.19618119585301,-2.1989489295922904,-2.20172828330019,-2.204582500819585
-1.8345371168770315,-1.8381131218538054,-1.8294057709448472,-1.8428480478512281,-1.8406866227577348,-1.8354608337695824,-1.8308139023734207,-1.828519622026347,-1.8268085339248616,-2.184206731680145,-2.1870512821405774,-2.1898236046476436,-2.1925751445602724,-2.195381023799262,-2.1982693381692013
-1.8338903762857512,-1.8276448910180216,-1.8293533284520511,-1.8426460730965029,-1.8375607940654106,-1.833958908816892,-1.8269388393850405,-1.8243956334782125,-1.8226070974749309,-1.821504830908377,-2.17922600802648,-2.1820136733399567,-2.1847766915976914,-2.18759585504167,-2.190514663747161
-1.8299230053948077,-1.8275607896730623,-1.829264693784367,-1.8411218704576147,-1.8360960472702696,-1.8329281273921227,-1.826907996514383,-1.8193783534370274,-1.8174976961098686,-1.8164693812157646,-1.8163009785824742,-2.1726494862393992,-2.175452471641043,-2.178307554350495,-2.1812749534400138
-1.8289978139507375,-1.8271839986290361,-1.8275241837708578,-1.8182953778871866,-1.8359170629181023,-1.8279121934690994,-1.8226640319553933,-1.8165695415058793,-1.8113802632021303,-1.810455355910843,-1.8105496426595304,-1.8120057840167572,-2.1645295333444756,-2.1674619632433307,-2.1705159050023295
-1.8205563629705834,-1.827141406723002,-1.8272709297679992,-1.814076242031593,-1.8327043525333313,-1.8262223383429854,-1.8226042517743648,-1.8134074623992857,-1.8048836581492678,-1.8033791946810906,-1.8038228796538898,-1.8040730149891315,-1.8057786252536954,-2.155017932206767,-2.158217364973471
-1.8187870395393764,-1.816405628629728,-1.8249104045365419,-1.8116647240441293,-1.8279578357825508,-1.8238983144679584,-1.8132572552332,-1.8104776587359956,-1.8042653942371099,-1.7952666583144554,-1.7962164255840793,-1.7961680917619731,-1.798335726415864,-1.801261378771473,-2.144317676429414
-1.8145330043814711,-1.815242866531143,-1.8060925164239439,-1.8082222812320294,-1.797989572136532,-1.8208451748391095,-1.8130871178173247,-1.808144437273427,-1.7977184868926006,-1.792486554254949,-1.7884108008147719,-1.7871610911499254,-1.7898041839499863,-1.793326147800148,-1.79807766944817
-1.8135468953994673,-1.8098909639806486,-1.7993279952675754,-1.8044648377340549,-1.7896888877028223,-1.8137703746070228,-1.8064579983949405,-1.7965114913716163,-1.7960510582151736,-1.7864191780366057,-1.7848806407140603,-1.7770862080744425,-1.7802511743403253,-1.7844928030201668,-1.7895853749579373
-1.8027116491289386,-1.8080761511273415,-1.797655255320144,-1.7997773472198648,-1.7804127234374554,-1.8050874136533344,-1.8060530490111475,-1.793503703353074,-1.7919149427943895,-1.7836646258219417,-1.7693357904593676,-1.7661487324917466,-1.7696327714127127,-1.7751085343799966,-1.781650839110941
-1.798724243587212,-1.78482516321576,-1.7889415126898063,-1.7959907682597342,-1.7797561550852876,-1.7704335846684016,-1.79678467983125,-1.7888792905034436,-1.7761021633448495,-1.7785728063358546,-1.7653310353597307,-1.7652541622513696,-1.7587655502170316,-1.7665136426234307,-1.773072955457916
-1.7836305854892418,-1.782448822123376,-1.7867625667552467,-1.785406476153525,-1.7717869158303172,-1.7587567813302125,-1.7857327909684388,-1.7839890682138764,-1.7700403114763184,-1.7755822676310968,-1.7648914587074085,-1.7562967969022372,-1.7583716647839613,-1.7552192242553786,-1.7641270456346112
